,num_awards,prog,math,num_awards_norm
131,0,Academic,49,0.0
132,1,Academic,61,0.16666666666666666
133,0,General,49,0.0
134,0,Academic,57,0.0
135,0,Academic,66,0.0
136,0,General,56,0.0
137,3,Academic,60,0.5
138,1,Academic,57,0.16666666666666666
139,0,Academic,59,0.0
140,0,Academic,58,0.0
141,0,Academic,57,0.0
142,3,Academic,64,0.5
143,0,General,60,0.0
144,0,General,54,0.0
145,1,Academic,61,0.16666666666666666
146,1,General,58,0.16666666666666666
147,0,General,56,0.0
148,0,General,60,0.0
149,0,Academic,55,0.0
150,3,Academic,57,0.5
151,0,Academic,62,0.0
152,0,Academic,56,0.0
153,0,Academic,51,0.0
154,2,Vocational,56,0.3333333333333333
155,0,General,61,0.0
156,1,Academic,63,0.16666666666666666
157,5,Academic,61,0.8333333333333334
158,0,Academic,67,0.0
159,0,Academic,48,0.0
160,1,Academic,61,0.16666666666666666
161,0,General,57,0.0
162,0,General,48,0.0
163,2,Academic,65,0.3333333333333333
164,4,Academic,62,0.6666666666666666
165,1,Academic,61,0.16666666666666666
166,0,Vocational,53,0.0
167,1,General,58,0.16666666666666666
168,1,Academic,64,0.16666666666666666
169,3,Academic,65,0.5
170,1,General,56,0.16666666666666666
171,1,General,63,0.16666666666666666
172,3,Academic,57,0.5
173,2,Academic,72,0.3333333333333333
174,0,Vocational,66,0.0
175,0,Academic,62,0.0
176,1,Academic,58,0.16666666666666666
177,1,Academic,63,0.16666666666666666
178,3,Academic,64,0.5
179,2,Academic,72,0.3333333333333333
180,0,Academic,64,0.0
181,6,Academic,69,1.0
182,4,Academic,70,0.6666666666666666
183,1,Academic,66,0.16666666666666666
184,0,General,58,0.0
185,2,Academic,62,0.3333333333333333
186,2,Academic,67,0.3333333333333333
187,1,Academic,64,0.16666666666666666
188,2,Academic,63,0.3333333333333333
189,1,Academic,68,0.16666666666666666
190,1,Academic,75,0.16666666666666666
191,0,Academic,69,0.0
192,1,Academic,65,0.16666666666666666
193,2,Academic,71,0.3333333333333333
194,5,Academic,71,0.8333333333333334
195,1,Academic,60,0.16666666666666666
196,2,Academic,71,0.3333333333333333
197,2,Vocational,75,0.3333333333333333
198,1,Academic,71,0.16666666666666666
199,0,Academic,72,0.0
200,3,Academic,73,0.5
